,original_title,release_year,budget,revenue,profit
0,Spartacus,1960,12000000,60000000,48000000
1,One Hundred and One Dalmatians,1961,4000000,215880014,211880014
2,Dr. No,1962,1100000,59600000,58500000
3,From Russia With Love,1963,2500000,78898765,76398765
4,Goldfinger,1964,3500000,124900000,121400000
5,The Sound of Music,1965,8200000,163214286,155014286
6,Who's Afraid of Virginia Woolf?,1966,7500000,33736689,26236689
7,The Jungle Book,1967,4000000,205843612,201843612
8,2001: A Space Odyssey,1968,12000000,56715371,44715371
9,Butch Cassidy and the Sundance Kid,1969,6000000,102308889,96308889
10,Love Story,1970,2200000,136400000,134200000
11,Diamonds Are Forever,1971,7200000,116000000,108800000
12,The Godfather,1972,6000000,245066411,239066411
13,The Exorcist,1973,8000000,441306145,433306145
14,Blazing Saddles,1974,2600000,119500000,116900000
15,Jaws,1975,7000000,470654000,463654000
16,A Star Is Born,1976,6000000,161000000,155000000
17,Star Wars,1977,11000000,775398007,764398007
18,Superman,1978,55000000,300218018,245218018
19,Rocky II,1979,7000000,200182160,193182160
20,The Empire Strikes Back,1980,18000000,538400000,520400000
21,Raiders of the Lost Ark,1981,18000000,389925971,371925971
22,E.T. the Extra-Terrestrial,1982,10500000,792910554,782410554
23,Return of the Jedi,1983,32350000,572700000,540350000
24,Indiana Jones and the Temple of Doom,1984,28000000,333000000,305000000
25,Back to the Future,1985,19000000,381109762,362109762
26,Top Gun,1986,15000000,356830601,341830601
27,Fatal Attraction,1987,14000000,320145693,306145693
28,Rain Man,1988,25000000,354825435,329825435
29,Indiana Jones and the Last Crusade,1989,48000000,474171806,426171806
30,Ghost,1990,22000000,505000000,483000000
31,Terminator 2: Judgment Day,1991,100000000,520000000,420000000
32,Aladdin,1992,28000000,504050219,476050219
33,Jurassic Park,1993,63000000,920100000,857100000
34,The Lion King,1994,45000000,788241776,743241776
35,The Net,1995,22000000,1106279658,1084279658
36,Independence Day,1996,75000000,816969268,741969268
37,Titanic,1997,200000000,1845034188,1645034188
38,Armageddon,1998,140000000,553799566,413799566
39,Star Wars: Episode I - The Phantom Menace,1999,115000000,924317558,809317558
40,Mission: Impossible II,2000,125000000,546388105,421388105
41,Harry Potter and the Philosopher's Stone,2001,125000000,976475550,851475550
42,The Lord of the Rings: The Two Towers,2002,79000000,926287400,847287400
43,The Lord of the Rings: The Return of the King,2003,94000000,1118888979,1024888979
44,Shrek 2,2004,150000000,919838758,769838758
45,Harry Potter and the Goblet of Fire,2005,150000000,895921036,745921036
46,Pirates of the Caribbean: Dead Man's Chest,2006,200000000,1065659812,865659812
47,Harry Potter and the Order of the Phoenix,2007,150000000,938212738,788212738
48,The Dark Knight,2008,185000000,1001921825,816921825
49,Avatar,2009,237000000,2781505847,2544505847
50,Toy Story 3,2010,200000000,1063171911,863171911
51,Harry Potter and the Deathly Hallows: Part 2,2011,125000000,1327817822,1202817822
52,The Avengers,2012,220000000,1519557910,1299557910
53,Frozen,2013,150000000,1274219009,1124219009
54,The Hobbit: The Battle of the Five Armies,2014,250000000,955119788,705119788
55,Star Wars: The Force Awakens,2015,200000000,2068178225,1868178225
